tweet_id,sarcastic
6.01E+17,0
3802696097,1
1.35E+17,0
1.07E+18,0
4.94E+16,1
1.09E+18,1
5.89E+17,1
3.18E+16,1
3.89E+16,0
5.08E+17,0
1.22E+18,1
3.00E+17,0
2.26E+17,0
3.99E+17,1
5.08E+17,0
8.77E+16,1
4.14E+17,0
6.95E+17,0
8.88E+17,1
5.04E+17,0
5.08E+17,0
3.21E+17,0
9.74E+17,0
7.38E+16,1
15988524587,0
1.26E+18,0
15904065525,0
15542806139,0
9.76E+17,1
6.01E+17,0
9.74E+17,1
1.26E+18,0
1.07E+18,0
1.26E+18,1
8.82E+17,0
4.85E+17,1
6.95E+17,0
3.80E+16,0
15535347025,1
2.49E+16,0
1.16E+18,0
3.18E+17,1
3702442757,1
7.11E+17,1
6.95E+17,1
1.06E+18,0
3.20E+17,1
2.21E+17,1
1.33E+17,0
1.10E+18,1
9.71E+17,0
3.21E+17,0
8.21E+17,1
4.20E+17,1
5.08E+17,0
1.11E+18,1
1.12E+18,1
6.94E+17,1
6.67E+17,1
1.07E+18,0
4.12E+16,0
2.98E+17,1
3.93E+17,1
15415054780,0
1.26E+18,0
21125749285,1
4.15E+17,0
3761012020,0
237278852,0
1.17E+18,1
1.02E+18,1
6.88E+17,0
15614534931,0
5.08E+17,0
4.48E+17,1
1.16E+18,0
1.16E+18,0
2112771526,0
15572564078,0
2357795120,0
6.01E+17,0
1.07E+18,0
1.34E+17,0
6.01E+17,0
1.34E+17,0
1.23E+18,1
1.26E+18,1
1.16E+18,0
4.08E+16,0
15565829170,0
1.21E+18,1
5.08E+17,0
8.81E+17,1
1.26E+18,0
6.01E+17,0
6.96E+17,1
4.15E+17,1
8.76E+17,0
3.20E+17,0
1.19E+18,1
1.26E+18,1
9.50E+17,1
9.75E+17,0
3.20E+17,0
635488932,0
9.74E+17,1
8.43E+17,1
1.26E+18,1
8.82E+17,0
5.99E+17,1
1582493164,0
7.88E+17,1
6.01E+17,0
3.21E+17,0
7.88E+17,0
6.01E+17,0
1.14E+18,1
6.95E+17,0
4.15E+17,0
1.33E+17,0
9.76E+17,1
15699096412,0
1.26E+18,1
2.25E+17,0
1.16E+18,1
7.88E+17,0
1.07E+18,0
8.81E+17,1
4.11E+17,1
4.09E+17,1
1.26E+18,0
1.26E+18,1
1.16E+18,0
9.75E+17,0
3.20E+17,1
6.01E+17,1
6.93E+17,0
3248831952,0
7.87E+17,0
6.95E+17,0
5.08E+17,0
1.16E+18,1
5.06E+17,0
2.19E+17,1
2.26E+17,1
1.07E+18,0
3.19E+17,1
3.19E+16,0
5.39E+17,1
9.75E+17,0
20904017020,1
1.34E+17,0
3.98E+16,0
8.54E+17,1
3.21E+17,0
7.82E+17,1
8.81E+17,0
3.19E+17,1
2.16E+17,0
1.16E+18,0
3931394914,0
4.55E+16,1
4.15E+17,1
8956127711,1
1.23E+18,1
6.01E+17,0
4.15E+17,0
8.81E+17,1
1.16E+18,0
1.16E+18,0
1.26E+18,1
6.01E+17,0
6.01E+17,1
7.88E+17,1
5.99E+17,0
4.10E+16,0
8.53E+17,1
2.28E+17,0
6.93E+17,0
2.28E+17,1
9.75E+17,0
1.08E+18,1
1.26E+18,0
4.32E+17,1
4.05E+16,0
2.88E+17,1
5.08E+17,0
4.08E+17,1
6.77E+17,0
1.26E+18,1
4.15E+17,0
4.15E+17,0
9.76E+17,1
3.21E+17,1
2.24E+17,1
4168558204,0
1.26E+18,0
1.07E+18,0
1.14E+18,1
4.15E+17,0
1.13E+18,1
1.06E+18,1
8.31E+17,1
7.88E+17,0
25422839546,1
3.19E+17,0
5.50E+17,1
1.16E+18,0
8.82E+17,0
7.88E+17,0
4128267136,0
2.16E+17,0
7.89E+17,0
5.99E+17,1
1.12E+18,1
5.94E+17,0
3.21E+17,0
1.26E+18,0
5.08E+17,1
4.57E+17,1
9.75E+17,0
5.08E+17,0
1.10E+18,1
3.76E+17,1
1.16E+18,1
5.08E+17,0
5.05E+17,0
4.15E+17,0
7.89E+17,1
9.09E+17,1
2.28E+17,0
1.15E+18,1
1.07E+18,0
2.28E+17,0
5.85E+16,1
1.26E+18,1
8.82E+17,1
2.19E+17,1
9.75E+17,0
4.15E+17,0
6.01E+17,0
15418946910,0
1.02E+18,1
3.91E+16,0
1.02E+18,1
7.88E+17,0
1.18E+18,1
6.93E+17,0
3.92E+17,1
4.14E+17,0
4071322613,1
4395504248,1
8.81E+17,0
8.36E+17,1
1.16E+18,1
1.09E+18,1
1540417296,0
5.98E+17,1
3.18E+17,0
6.92E+17,1
5.80E+17,1
1.14E+18,1
6.01E+17,0
3.94E+17,1
1.16E+18,0
413134252,0
1.07E+18,0
8.82E+17,0
2.13E+17,0
3916323566,0
6.00E+17,1
1.62E+17,1
7.88E+17,0
12745821005,1
14850304457,0
1.16E+18,0
7.89E+17,1
3.21E+17,0
1.26E+18,1
7.10E+17,1
1.35E+17,1
3.19E+17,1
8.75E+17,0
1.26E+18,0
6.96E+17,1
1.03E+18,1
8686570871,1
6.93E+17,0
1.26E+18,1
5.89E+17,0
11385650473,1
7.88E+17,0
2.99E+16,1
5.44E+17,1
1.22E+18,1
8.83E+17,1
8.82E+17,0
1.04E+18,1
3837422098,0
8.82E+17,0
1.24E+18,1
5.08E+17,1
9.70E+17,0
20320177162,1
4.64E+17,1
